epoch,dice_coef,loss,mean_io_u,precision,recall,val_dice_coef,val_loss,val_mean_io_u,val_precision,val_recall
0,0.8686559796333313,0.1313433051109314,0.8346743583679199,0.9064293503761292,0.7911720275878906,0.8456672430038452,0.15433281660079956,0.8075316548347473,0.9389193654060364,0.71652752161026
1,0.8921352624893188,0.10786525160074234,0.850287139415741,0.9368601441383362,0.8108052015304565,0.8445588946342468,0.1554410755634308,0.8102360367774963,0.9397101402282715,0.7230885028839111
2,0.8985275030136108,0.10147161036729813,0.8543928861618042,0.9415745735168457,0.8155129551887512,0.869249701499939,0.13075034320354462,0.8409830331802368,0.9379814267158508,0.7740486860275269
3,0.9022114872932434,0.09779013693332672,0.8570525646209717,0.9439969062805176,0.8187392950057983,0.8313083052635193,0.1686916947364807,0.8111951351165771,0.9419758319854736,0.6810508966445923
4,0.9072441458702087,0.09275656193494797,0.8604347705841064,0.9487593770027161,0.8208534717559814,0.8103868365287781,0.18961314857006073,0.8063793182373047,0.9001594185829163,0.7020001411437988
5,0.9112964272499084,0.08870477974414825,0.8630068898200989,0.9530640244483948,0.8221043944358826,0.8297472596168518,0.17025278508663177,0.8101768493652344,0.9383969306945801,0.686286449432373
6,0.9146101474761963,0.08538869023323059,0.8654166460037231,0.9557884931564331,0.8249109983444214,0.6850033402442932,0.3149966895580292,0.7823432683944702,0.6182773113250732,0.6932939291000366
7,0.9177331328392029,0.0822654440999031,0.8676931858062744,0.9579682350158691,0.828088641166687,0.7843418121337891,0.21565820276737213,0.7582602500915527,0.9425788521766663,0.6126654148101807
8,0.9264689087867737,0.07353130728006363,0.8741856813430786,0.9646899700164795,0.8339347243309021,0.8240968585014343,0.17590312659740448,0.8039635419845581,0.9355777502059937,0.685958981513977
9,0.929608941078186,0.07039147615432739,0.8762191534042358,0.966883659362793,0.835878849029541,0.8194591999053955,0.18054090440273285,0.7999885678291321,0.9368870854377747,0.6750235557556152
10,0.931451141834259,0.06855102628469467,0.8775325417518616,0.9681044816970825,0.8369727730751038,0.8294585943222046,0.17054136097431183,0.8095492124557495,0.9309390783309937,0.6991124749183655
11,0.9329895377159119,0.06700819730758667,0.8785130381584167,0.9693925380706787,0.8376156091690063,0.7567412853240967,0.2432587742805481,0.7925682067871094,0.7695634961128235,0.6671600341796875
12,0.934334933757782,0.06566368043422699,0.8793567419052124,0.9704743027687073,0.8382333517074585,0.8084280490875244,0.19157196581363678,0.8097609877586365,0.857649564743042,0.709580659866333
